Article,Topic
"Desailly backs Blues revenge trip

Marcel Desailly insists there is no chance of history repeating itself when Chelsea take on Barcelona on Wednesday.

The French star was part of the Chelsea side crushed 5-1 at the Nou Camp in the Champions League quarter-final second leg in 2000. ""Things will be totally different this time,"" he told BBC Sport. ""Now everyone knows about Chelsea and is a little bit afraid of them. They are one of the major clubs in Europe and the pressure will be on Barcelona."" Chelsea have not played Barcelona since that quarter-final tie five years ago. The Blues had looked destined to progress after winning the first leg at Stamford Bridge 3-1, courtesy of two goals from Tore Andre Flo and one by Gianfranco Zola. But they collapsed in the second leg, going down to strikes from Rivaldo (2), Luis Figo, Dani and Patrick Kluivert.

Former Chelsea captain Desailly, who is now playing for Al-Gharafa in Qatar, says there is no comparison between that side and the current Blues team, who are top of the Premiership. ""Mentally they are much stronger, even though a lot of their players are young,"" the 36-year-old said. ""We made some mistakes at the Nou Camp in 2000 - a lot of them were individual mistakes. ""It would not happen now. This team has a new motivation and a different mentality."" World Cup winner Desailly saw huge changes during his time at Stamford Bridge. He was signed for £4.6m from AC Milan in 1998 by Ruud Gullit and went on to play under Gianluca Vialli and Claudio Ranieri. But the biggest change occurred when billionaire Roman Abramovich bought the club in 2003. Desailly says the Russian's arrival helped to instil a winning mentality at the club as well as a demand for success. ""The whole of Chelsea is different now - the chairman, the manager and all the players,"" he said.

""Everything is new and there is a huge determination to win. ""Since that game in 2000, Chelsea have gained more experience in Europe and were very close to reaching the Champions League final last season."" Desailly is one of the most decorated players in the history of football. He won the 1998 World Cup and 2000 European Championship with France, the Champions League in 1993 with Marseilles and 1994 with AC Milan, two Serie A titles and the FA Cup in 2000 with Chelsea. He is now winding down his career in Qatar, alongside the likes of Frank Lebeouf, Josep Guardiola, Titi Camara, Gabriel Batistuta and Christophe Dugarry. So he is full of admiration for two of his colleagues from the great Milan side of the mid-90s who are likely to line up against Manchester United on Wednesday - Paolo Maldini and Alessandro Costacurta. ""I'm happy that they have managed to play so long at a high level,"" he said. ""I made a vow to Costacurta that as long as he plays, I will continue to play. ""And it's amazing that Paolo has managed to play at such a high level for such a long time.""",Sports
"Brentford v Southampton

Griffin Park

Tuesday, 1 March

1945 GMT

Barry Knight (Kent)

home to Manchester United in the quarter-finals

Midfielder Andrew Frampton and striker Deon Burton are both slight doubts with hamstring injuries, but should be fit Saints are missing their entire first-choice midfield of Jamie Redknapp, Graeme Le Saux, Nigel Quashie and David Prutton. Anders Svensson and Matt Oakley are likely replacements with Kevin Phillips also scheduled to start, with Henri Camara rested.

- Brentford boss Martin Allen: ""After conceding eight goals in our last three matches, I have to admit I'm not very confident. ""There's no doubt we're the underdogs and after defending so poorly recently it's not looking good. ""Southampton have just drawn with the Premiership champions and that makes our task harder than it was already."" 
 - Southampton boss Harry Redknapp: ""We know they can give us problems. ""Brentford have done well but we are the Premiership side and should have the better players. ""Staying in the Premiership is our priority. We want to win, of course we do. We'll battle but if it comes to a football match I think we'll win."" KEY MATCH STATS 
 - BRENTFORD are the lowest ranked club left in the FA Cup. They're on their best run in the competition since reaching the quarter-finals for the fourth time in their history 16 years ago. Now they have the carrot of the plum draw in the last eight dangling before them. Victory over Premiership strugglers Southampton, would bring the mighty Manchester United to Griffin Park and a gigantic pay day for the sole League One survivors. 
 - Martin Allen's brave side came back from two goals down at St Mary's to earn a deserved replay. Southampton striker Henri Camara scored twice from close range to put the Saints in command, but Isaiah Rankin hit back just before half time, and Sam Sodje headed past a creaky defence on 58 minutes. 
 - The Londoners have conceded six goals in their two subsequent League outings - three each in losing away to Hartlepool and drawing at home to Sheffield Wednesday. But they haven't lost in six League and Cup games on home turf - winning three and drawing three since the reverse to Torquay on Boxing Day. 
 - SOUTHAMPTON go into this tie on the back of an eventful Premiership match with Arsenal on Saturday. An angry David Prutton pushed referee Alan Wiley after being shown the red card, but his side still came back to draw 1-1. It was Saints' fourth stalemate in succession in all competitions, but didn't lift them out of the relegation zone. The retention of their ever present Premier League status must be the number one priority, irrespective of the rewards that success against Brentford would bring. 
 - Victory here would set up a repeat of the 1976 final, when Saints astounded the football world by defeating Tommy Docherty's Manchester United courtesy of Bobby Stokes' famous winner. They also knocked out the Red Devils in 1991 on penalties in the fourth round. But to write another chapter in their FA Cup history, the Solent side must avoid succumbing to lower division opposition for the first time since Rotherham, from the second level, beat them 2-1 in a third round tie at Millmoor on 16 January 2002. Southampton were last humbled by a club from the third tier six years ago. Fulham were then in the Second Division, when they won a third round replay at Craven Cottage 1-0 on 13 January 1999. 
 - To get to within two matches of a second visit to the Millennium Stadium in three years for the final, Harry Redknapp must guide his side past a club 36 places inferior on the League ladder, and a manager 19 years his junior, who played under him at West Ham. HEAD TO HEAD

10th League One

QUARTER-FINALS (four times)

18th PREM

WINNERS (once)",Sports
"Blackburn v Burnley

Ewood Park

Tuesday, 1 March

2000 GMT

Howard Webb (South Yorkshire)

home to Leicester in the quarter-finals

But defender Andy Todd is suspended and could be replaced by Dominic Matteo - if he recovers from a hamstring injury. Burnley have major injury concerns over Frank Sinclair and John McGreal. Michael Duff looks set to continue at right-back with John Oster in midfield and Micah Hyde is expected to recover from a knee injury.

- Blackburn boss Mark Hughes: ""Burnley are resolute and have individual talent but I fully expect us to progress. ""I thought we were comfortable in the first game and never thought we were under pressure. ""It's a competition we want to progress in and we are doing okay. If we beat Burnley, we have a home tie against another lower league club (Leicester)."" 
 - Burnley boss Steve Cotterill: ""They will be fresh and we'll be tired. That is an honest opinion but our lads just might be able to get themselves up for one more big game. ""The atmosphere at the last game was very hot - a good verbal contest. ""Our fans will not need whipping up for this game. I just want them to help us as much as they can in a positive way."" KEY MATCH STATS 
 - BLACKBURN ROVERS against Bolton is part two of an East Lancashire hotpot that didn't turn out to be that spicy when first staged on a Sunday lunchtime the weekend before last, and resulted in a scrappy goalless draw. 
 - Rovers, who are aiming to win the Cup for a seventh time in their history and first time in 77 years, face another replay against Championship opposition after eventually disposing of Cardiff at Ewood Park in the third round. But they've not been beaten in the competition by a club outside the Premiership for nine years, since Ipswich - then in the second tier - defeated them 0-1 after extra time in a third round replay at Ewood Park on 16 January 1996. History is on Rovers side. When they last met their near neighbours in the FA Cup 45 years ago, it also required an Ewood Park replay, which the home side won 2-0, and when they last met in the League, Rovers did the double. They first won their Nationwide Division One trip to Turf Moor 0-2 four seasons ago, and then thrashed the Clarets on home soil 5-0. 
 - Manager Mark Hughes, who won the Cup four times as a player, is aiming to steer Rovers into the quarter-finals for the second time in 12 years, and first time since the 2000/2001 season. Success here, and victory home to Leicester in the next round, could see Rovers in the semi-finals without having played Premiership opposition. 
 - BURNLEY make the eight mile journey to their fierce rivals, determined to send Blackburn the same way as Liverpool in the third round. But having failed to pull off another shock at Turf Moor, it could be that the Championship outfit - 17 places inferior on the League ladder - have missed their best opportunity. Having said that, Burnley are yet to concede a goal in this Cup run. 
 - Steve Cotterills' Clarets have been knocked out in the fifth round four times in the last seven years, and have made only one appearance in the sixth round in 21 years. That was in the season before last, when they disposed of Premiership Fulham at this fifth round stage. 
 - While Blackburn have not played since the fifth round tie, Burnley have had two League outings away from home, drawing 1-1 at Derby and losing 1-0 at Preston. That takes their winless run to four games. The combatants from one-time prosperous mill towns, are both founder members of the Football League. HEAD TO HEAD

16th PREM

WINNERS (six times)

13th Championship

WINNERS (once)",Sports
"Cole refuses to blame van Persie

Ashley Cole has refused to blame Robin van Persie for leaving Arsenal with no fully-fit strikers for the FA Cup fifth round replay at Sheffield United.

Van Persie is suspended alongside Dennis Bergkamp and Jose Antonio Reyes after being sent off at Southampton when Arsenal had a numerical advantage. Thierry Henry is ruled out with an Achilles tendon injury but Cole said: ""No-one is putting the blame on Robin. ""It's just something that happens on the spur of the moment."" Cole added: ""I've done it before and I hope they didn't blame me for anything. ""Of course he'll learn. I've been sent off a couple of times now and it's just one of those things when you go a bit crazy for one or two seconds. Freddie Ljungberg is likely to be used in an emergency striking role and will be partnered by either Arturo Lupoli, Quincy Owusu-Abeyie or Jeremie Aliadiere. Gunners boss Arsene Wenger said: ""Freddie is an option but we need a second striker. ""I have to decide whether it will be Aliadiere, Quincy or Lupoli who will start with him up front. Those three will be involved."" Arsenal are also without winger Robert Pires, who sustained an ankle injury at St Mary's. Wenger added: ""It doesn't look like anything is fractured, but it is a good ankle sprain. ""It does not look like Pires will be ready for two to three weeks.""",Sports
"Thompson says Gerrard should stay

Liverpool legend Phil Thompson has pleaded with Steve Gerrard to reject any overtures from Chelsea.

The ex-Reds assistant boss also warned that any honours won at Chelsea would be cheapened by the bid to buy success. He told BBC Radio Five Live: ""Liverpool would think about any bid made but it will all be down to Steve in the end. ""But it wouldn't have that same sweet feeling at Chelsea, where it's all money-orientated and about simply buying the best."" Thompson reacted sharply to some Liverpool supporters, who criticised Gerrard's performance in the Carling Cup final against Chelsea. A number of fans questioned Gerrard's commitment and sarcastically branded his own goal in Liverpool's 3-2 defeat as his first goal for Chelsea.

Thompson added: ""I heard those comments from so-called supporters and they were diabolical, absolutely outrageous. ""Stevie carried the club last year and this year. He's always put Liverpool first."" Thompson, who savoured seven title-winning seasons and two European Cup triumphs during his Anfield playing career, is confident that the lure of Champions League football will keep Gerrard at Anfield. ""I hope Champions League football will beckon for Liverpool - either as winners or as finishing fourth in the Premiership - and he will commit himself. ""There has been a lot of soul-searching the way things have gone lately. ""I hope he's hardening to the fact he will have big decisions to make but I hope it is to the benefit of Steven Gerrard and I hope it is worthwhile for Liverpool.""",Sports
"Keegan hails comeback king Fowler

Manchester City boss Kevin Keegan has praised striker Robbie Fowler for his landmark return to form.

The 29-year-old, out of favour at City earlier this season, took his Premiership goal tally past 150 with a brace in Monday's 3-2 win at Norwich. ""He is still a quality player and knows where the net is - we have just got to supply him with ammunition and, in the end, we did,"" Keegan said. ""He has worked hard to get back to where he is now."" The former Liverpool striker, who moved to City in 2003 after a poor stint at Leeds, has battled back into first-team contention after struggling with fitness at the start of the season.

Fowler overtook Les Ferdinand on Tuesday evening to become the third highest scorer of all time in the Premiership, with 151 goals, and he only trails Alan Shearer (250) and Andy Cole (173). And Keegan believes there is still more to come from the former England forward. ""He can get better if we can supply him better,"" added Keegan. ""People want to write him off but if he has kept the articles of those people who have written him off he could throw them back at them and they would be left with a bit of egg on their face."" Fowler's double strike helped City come back from two goals down to clinch a dramatic win at Carrow Road and Keegan sympathised with Norwich boss Nigel Worthington afterwards. ""I feel a bit for Nigel Worthington,"" he said. ""His team have got great character, they have a lot of drive and enthusiasm. ""I know it is a killer blow for Norwich but I really think they have brought something to the Premiership. ""The stadium and the atmosphere is great, it is just a tough league to stay in - as they are finding out and as we know.""",Sports
"Beattie return calms attack fears

Everton striker James Beattie has been declared fit for training on Tuesday, despite suffering an alleged assault last Saturday.

Beattie, 27, is not believed to be as seriously hurt as some reports have suggested after being ""the victim of an unprovoked assault"" in Birmingham. He was on a night out with his girlfriend and two friends following Everton's 3-1 win over Aston Villa. ""He was shaken but not badly injured,"" said Everton spokesman Ian Ross. He added: ""He did speak to the police but will not be pressing charges. ""He has spoken to manager David Moyes about what happened."" Beattie was suspended for the win at Aston Villa after his red card against Chelsea and he will be available again for the Merseyside derby at Liverpool on 20 March.",Sports
"Cudicini misses Carling Cup final

Chelsea goalkeeper Carlo Cudicini will miss Sunday's Carling Cup final after the club dropped their appeal against his red card against Newcastle.

The Italian was sent off for bringing down Shola Ameobi in the final minute of Sunday's match. Blues boss Jose Mourinho had promised to pick Cudicini for the final instead of first-choice keeper Petr Cech. The 31-year-old will now serve a one-match suspension commencing with immediate effect.

Cudicini kept a club record 24 clean sheets last season for Chelsea, but Petr Cech has established himself as first choice for Mourinho since moving to Stamford Bridge in summer 2004. The 22-year-old Czech Republic international has set a new Premiership record of 961 consecutive minutes without conceding a goal, a mark which is still running. But Mourinho has used Cudicini regularly in the Carling Cup, and the Italian has only let in one goal in his four appearances during Chelsea's run to the final.",Sports
"QPR keeper Day heads for Preston

Queens Park Rangers keeper Chris Day is set to join Preston on a month's loan.

Day has been displaced by the arrival of Simon Royce, who is in his second month on loan from Charlton. QPR have also signed Italian Generoso Rossi. R's manager Ian Holloway said: ""Some might say it's a risk as he can't be recalled during that month and Simon Royce can now be recalled by Charlton. ""But I have other irons in the fire. I have had a 'yes' from a couple of others should I need them.""

Day's Rangers contract expires in the summer. Meanwhile, Holloway is hoping to complete the signing of Middlesbrough defender Andy Davies - either permanently or again on loan - before Saturday's match at Ipswich. Davies impressed during a recent loan spell at Loftus Road. Holloway is also chasing Bristol City midfielder Tom Doherty.",Sports
"Mourinho receives Robson warning

Sir Bobby Robson has offered Chelsea boss Jose Mourinho some advice on coping under pressure.

The pair worked together at Barcelona and Porto and Robson had a word of warning for his protege. ""It has all gone for him just lately and that is marvellous, but sometimes you have to have a bit of humility and learn how to lose,"" said Robson. ""It is when it goes against you and you get a bit of bad luck that you learn, and he'll get it straight."" Robson was speaking after being formally granted the freedom of the city of Newcastle. ""Jose is doing very well at the moment,"" Robson added of the man who worked for him for six years. ""He has got one pot - possibly two to follow - a big game against Barcelona to come and I cannot see them losing their lead in the Premiership. ""They are in a good position and I would expect them to go on and win it, which is a wonderful achievement.

""What has occurred over the last couple of weeks will stand him in very good stead for the future. If he is intelligent, he will take it on board - and he is very intelligent. ""He will have learned more in the last fortnight than the last eight months. Before that, it was all about winning."" Robson also admitted he would relish the chance to get back into management and test his skills against Mourinho. ""I am not in a hurry to take the wrong job, but I am ready to take the right job and I feel there is another job in me,"" he added. ""I know the area I am capable of working in and of course I would like a job in the Premiership if one was available. ""It would not worry me if I had to pit my wits against Jose. ""But it is not just a case of him and me against one another. It would be his team against my team - but I would not be afraid of that.""",Sports
"Boro suffer Morrison injury blow

Middlesbrough midfielder James Morrison has been ruled out for up to eight weeks after an operation on Tuesday.

The 18-year-old, who has played in 13 of the club's last 14 games, had surgery to repair a double hernia. A club spokesman confirmed: ""It is a bilateral sportsman's hernia, which was operated on yesterday."" Morrison was sent for scans after being substituted at half-time during Boro's 2-1 UEFA Cup win over Graz AK in which he scored the equaliser. His injury is the latest blow for the Teessiders, who have been without Gaizka Mendieta, George Boateng and Mark Viduka for extended periods. Meanwhile, the kick-off time for Boro's Uefa Cup match at Sporting Lisbon on 17 March has been brought forward from 2115 GMT to 1945 GMT.",Sports
"Aragones angered by racism fine

Spain coach Luis Aragones is furious after being fined by The Spanish Football Federation for his comments about Thierry Henry.

The 66-year-old criticised his 3000 euros (£2,060) punishment even though it was far below the maximum penalty. ""I am not guilty, nor do I accept being judged for actions against the image of the sport,"" he said. ""I'm not a racist and I've never lacked sporting decorum. I've never done that and I have medals for sporting merit."" Aragones was handed the fine on Tuesday after making racist remarks about Henry to Arsenal team-mate and Spanish international Jose Reyes last October.

The Spanish Football Federation at first declined to take action against Aragones, but was then requested to do so by Spain's anti-violence commission. The fine was far less than the expected amount of about £22,000 or even the suspension of his coaching licence. Arsenal boss Arsene Wenger, who was fined £15,000 in December for accusing Manchester United striker Ruud van Nistelrooy of cheating, believes that Aragones' punishment was too lenient. ""You compare his fine and my fine, and if you consider his was for racist abuse, then you seem to get away with it more in Spain than you should,"" Wenger said. ""He shouldn't have said what he said, and how much money is enough, I don't know but it doesn't look a big punishment."" However, Aragones insists the fine is unjustified and unfair. ""I have been treated like Islero (the bull that killed famous bullfighter Manolete),"" said Aragones on hearing he had been fined for his actions. ""I have not liked one thing about this whole affair and I do not agree with the sanction. They have looked for a scapegoat."" Spain's anti-violence commission must now ratify the Spanish FA's decision and has until next week to announce its verdict. Aragones has 10 days to appeal, and the commission can also appeal. Alberto Flores, president of the Spanish FA's disciplinary committee, said no-one in the committee felt Aragones was a racist nor had ""acted in a racist way."" ""A fine, the highest we could apply, is sufficient punishment. Suspension would have been a bit exaggerated,"" Flores told sports daily Marca.",Sports
"FA decides not to punish Mourinho

The Football Association will take no action against Chelsea boss Jose Mourinho following his sending-off in Sunday's Carling Cup final.

Mourinho, who was sent from the touchline for appearing to taunt Liverpool fans, has been ""reminded of his responsibilities to the game"". But the FA confirmed: ""There will be no further action taken in this matter."" Mourinho claimed his 'silence' gesture was aimed at the media, although they were on the other side of the ground. The former Porto coach was forced to watch the climax of his side's 3-2 victory over Liverpool on television after being ushered away from the touchline by fourth official Phil Crossley. His gesture came after Chelsea's equaliser on 79 minutes courtesy of a Steven Gerrard own goal. Mourinho still faces an FA investigation into his allegation that Manchester United's players 'cheated' during January's Carling Cup semi-final at Stamford Bridge.

And Uefa could also launch disciplinary action following Mourinho's failure to attend a compulsory post-match press conference after Chelsea's Champions League defeat at Barcelona last week. In addition, some time this month, Chelsea must also answer a charge of failing to control their players during the Premiership win at Blackburn in February. And a charge of failing to control their supporters following a Carling Cup meeting with West Ham earlier this season is still to be heard. The Premier League is also continuing investigations into allegations Chelsea officials tapped up Arsenal defender Ashley Cole in January.",Sports
"Adriano's Chelsea link rejected

Adriano's agent Gilmar Rinaldi has insisted that he has had no contact with Chelsea over the striker.

Chelsea were reported to have made inquiries about Inter Milan's 22-year-old Brazilian star. Rinaldi told BBC Sport from Rio de Janeiro: ""I can assure you that Chelsea have had no dealings whatsoever with either me or Adriano. ""Parma and Real Madrid are interested but there's nothing new there. Their interest has been known for some time."" Adriano has scored 14 goals in 20 Serie A appearances this season. And Chelsea boss Jose Mourinho had claimed that he was in Milan talking to Adriano on the day he is alleged to have held a clandestine meeting with Arsenal defender Ashley Cole. Mourinho said he was ""just practising my Portuguese with him because I don't need strikers"". Rinaldi told BBC Sport: ""I have to say that nobody from Chelsea or any other London club has contacted me. ""If they want to, that's fine. I can tell them what the situation is. ""If Chelsea are interested then they must make an offer."" Inter are reported to have slapped a price tag in the region of £40m on the head of Adriano, who joined them just over a year ago from Parma. Real Madrid view him as a natural replacement for compatriot Ronaldo. But Rinaldi said: ""I cannot give you a price that Inter would accept for Adriano. That's something that would have to be negotiated between the interested clubs.""",Sports
"Robben plays down European return

Injured Chelsea winger Arjen Robben has insisted that he only has a 10% chance of making a return against Barcelona in the Champions League.

The 21-year-old has been sidelined since breaking a foot against Blackburn last month. Chelsea face Barcelona at home on 8 March having lost 2-1 in the first leg. And Robben told the Daily Star: ""It is not impossible that I will play against Barcelona but it is just a very, very small chance - about 10%.""

Robben has been an inspirational player for Chelsea this season following a switch from PSV Einhoven last summer. He added: ""My recovery is going better than we expected a few weeks ago but I think the Barcelona game will come too soon. ""I won't take any risks and come back too soon.""",Sports
"Prutton poised for lengthy FA ban

Southampton's David Prutton faces a possible seven-match ban when he goes before the Football Association.

The 23-year-old has admitted two charges of improper conduct following his dismissal against Arsenal. The first charge relates to his failure to leave the field promptly, pushing referee Alan Wiley and remonstrating with assistant referee Paul Norman. And the second charge is for using threatening words and/or behaviour to a match official during the 1-1 draw.

Paolo di Canio was given a seven-match suspension when he pushed referee Paul Alcock over in a Premiership game between Sheffield Wednesday and Arsenal in 1998. Prutton will be joined at Wednesday's hearing by Saints boss Harry Redknapp, who believes that the FA will throw the book at his player. Redknapp himself sprinted along the touchline to help physio Jim Joyce and coach Denis Rofe shepherd the enraged Prutton away from referee's assistant Norman. ""David has made a big mistake and he knows it. I can't condone what he's done. He was out of order but he knows that,"" said Redknapp. ""He's a decent lad. He over-reacted badly for some reason - he had a rush of blood from somewhere. Off the pitch you couldn't meet a nicer lad."" Prutton has apologised publicly for his actions and to Arsenal's Robert Pires, who was injured in a wild tackle by the Saints' midfield man.

He said: ""It's an horrendous situation. I apologise to the ref and linesman, who were only doing their job. ""I've also seen what happened to Pires' leg and I'm sorry for that as well."" ""I apologise for the people who saw it. I know you get lots of kids going to the match now and they don't pay money to see that sort of thing. ""It's not a cop-out, but it was all a bit of a blur. Sometimes you react and it's beyond your control, "" added Prutton.",Sports
"Unclear future for striker Baros

Liverpool forward Milan Baros is uncertain whether he remains part of boss Rafa Benitez's plans after being dropped for the Carling Cup final.

Baros, who is Liverpool's leading scorer this season, denied reports of a row with Benitez but claims he is mystified at being left on the bench. He told Czech newspaper Daily Sport: ""I don't know why I didn't play on Sunday. I didn't argue with anybody. ""I was disappointed but I am not thinking of leaving right now."" The Czech international came on as a substitute after 74 minutes but could not prevent his side losing 3-2 to Chelsea after extra-time.

Baros denied suggestions he wanted to leave the Millennium Stadium before the match upon learning of his omission from the starting line-up. But his admission that he ""guessed something like this was going to happen on Saturday"", will do little to quell claims of a falling-out with Benitez. And although Baros insisted thoughts of quitting Anfield are ""not in my mind right now"", he admitted ""everything is possible"".",Sports
"Ajax refuse to rule out Jol move

Ajax have refused to reveal whether Tottenham's boss Martin Jol is on the Dutch champions' shortlist to become the Amsterdam club's new coach.

Jol, who has coached in his native Holland, has guided Spurs to the Premiership's top eight. An Ajax spokesman told BBC Sport: ""The coach must fit our profile - a coach who understands the Dutch league and offensive and distinctive football. ""We need to find a solution soon, so someone is in place for next season."" Ronald Koeman quit as Ajax boss last week after their exit from the Uefa Cup. Jol has been linked with the vacant post at Ajax, with reports saying he has fallen out with Spurs' sporting director Frank Arnesen. But in a statement on Spurs' website, Jol said: ""I'm happy here, I'm not in discussion with anyone else, I don't want to go elsewhere."" Ajax have enlisted the help of Dutch legend Johann Cruyff, currently a consultant at Barcelona, to help find a new head coach. Cruyff has admitted he has been impressed by the way former RFC Waalwijk coach Jol has turned round Spurs' fortunes since taking over from Jacques Santini. Tonny Bruins Slot and Ruud Krol are currently in charge of Ajax, who are third in the Dutch league.",Sports
"Arsenal through on penalties

Arsenal win 4-2 on penalties

The Spanish goalkeeper saved from Alan Quinn and Jon Harley as Arsenal sealed a quarter-final trip to Bolton with a 4-2 victory on penalties. Lauren, Patrick Vieira, Freddie Ljungberg and Ashley Cole scored for Arsenal, while Andy Gray and Phil Jagielka were on target for the Blades. Michael Tonge and Harley wasted chances for the underdogs, but Paddy Kenny was inspired to keep Arsenal at bay. Arsenal, stripped of attacking talent such as Thierry Henry and Dennis Bergkamp, partnered 17-year-old Italian striker Arturo Lupoli with Ljungberg up front. It was a revamped Arsenal line-up, and they were almost a goal behind within seconds as Tonge wasted a glorious chance. Gray ran free down the right flank, and his cross left Tonge with the simplest of chances, but he blazed over the top from six yards.

Arsenal were barely seen as an attacking force in the opening 45 minutes, although Ljungberg turned a half-chance wide after good work by Cesc Fabregas. Arsene Wenger introduced Quincy Owusu-Abeyie for the ineffective Lupoli at half-time, and the pacy Dutch youngster had an immediate impact. He ran clear after good work by Mathieu Flamini, but his finish was tame and Kenny saved easily. Owusu-Abeyie then fired in a testing cross, which was met by Fabregas, and it needed a desperate clearance by Kenny's legs to save the Blades. Arsenal were now totally dominant, and were desperately unlucky not to take the lead after 62 minutes when Fabregas crashed a rising drive against the bar from 20 yards. It then took a brilliant tackle by Jagielka to deny Ljungberg as he was poised to strike. Arsenal continued to press, and once again Kenny was called into action with eight minutes left, diving low to clutch another close-range effort from Fabregas. Neil Warnock's side almost snatched victory in the dying seconds when Derek Geary's cross found Harley at the far post, but his diving header was brilliantly turned over by Almunia. Owusu-Abeyie's pace was causing all sorts of problems for the Blades, and as extra-time began, another surging run into the penalty area almost set up a chance for Ljungberg. Pascal Cygan missed Arsenal's best chance after 106 minutes, blazing across the face of goal when he was unmarked at the far post. Arsenal sent on Jeremie Aliadiere with seven minutes of extra-time left, and he almost broke the deadlock with his first touch. Kolo Toure's misplaced free-kick landed at his feet, but Kenny once again blocked from a tight angle. Arsenal laid siege to Sheffield United's goal in the dying minutes, but they somehow held on to force penalties. Almunia was then Arsenal's hero as another brave Blades cup campaign came to a losing end.

Kenny, Geary, Morgan, Bromby, Harley, Liddell, Montgomery, Jagielka, Thirlwell, Tonge (Quinn 97), Gray.

Subs Not Used: Francis, Kabba, Shaw, Haystead.

Morgan.

Almunia, Lauren, Cygan, Senderos, Cole, Fabregas (Toure 90), Vieira, Flamini (Aliadiere 113), Clichy, Lupoli (Owusu-Abeyie 45), Ljungberg.

Subs Not Used: Eboue, Taylor.

Clichy, Lauren, Senderos.

27,595

P Dowd (Staffordshire).",Sports
"Cole faces lengthy injury lay-off

Aston Villa's Carlton Cole could be out for six weeks with a knee injury.

The striker, who is on a season-long loan from Chelsea, picked up the knock in an England Under-21 match against Holland earlier this month. ""Carlton will be out of action for four to six weeks after a bad challenge,"" said Villa boss David O'Leary. ""I won't be able to tell you whether he will need an operation until maybe next week. Whether he has an operation has got to be left to Chelsea."" Cole, who also struggled with an ankle problem earlier in the season, was unable to rest because O'Leary had a shortage of strikers. The return to fitness of Darius Vassell after four months out with a broken ankle and the emergence of Luke Moore has alleviated some of the Villa's manager's problems in that department.",Sports
"Coach Ranieri sacked by Valencia

Claudio Ranieri has been sacked as Valencia coach just eight months after taking charge at the Primera Liga club for the second time in his career.

The decision was taken at a board meeting following the side's surprise elimination from the Uefa Cup. ""We understand, and he understands, that the results in the last few weeks have not been the most appropriate,"" said club president Juan Bautista. Former assistant Antonio Lopez will take over as the new coach. Italian Ranieri took over the Valencia job in June 2004 having been replaced at Chelsea by Jose Mourinho.

Things began well but the Spanish champions extended their winless streak to six after losing to Racing Santander last weekend. That defeat was then followed by a Uefa Cup exit at the hands of Steaua Bucharest. Ranieri first took charge of Valencia in 1997, guiding them to the King's Cup and helping them to qualify for the Champions League. The 54-year-old then moved to Atletico Madrid in 1999, before joining Chelsea the following year.",Sports
"Hodgson relishes European clashes

Former Blackburn boss Roy Hodgson says the Premiership should follow the rest of Europe and have a winter break - but insists that a gruelling domestic schedule will not damage the English elite's bid for Champions League glory.

Hodgson - now in charge at Viking Stavanger - was at Liverpool's clash with Bayer Leverkusen at Anfield on Tuesday as a member of Uefa's technical committee. Hodgson is a fierce advocate of the winter break employed throughout Europe, although not in England - where the Champions League contenders have ploughed through a heavy fixture list. But Hodgson told BBC Sport that while he believes the Premiership should embrace the idea, he does not expect it to cost the English representatives in the last 16 of the Champions League. ""I just feel it is very difficult to say with certainty that teams who have had the break will have a definite edge. ""I am a fervent supporter of the break. It gives players the chance to recharge their batteries midway through the season, which some suggest will give teams an advantage in the Champions League. ""The other school of thought suggests having a break then coming back to it puts you at a disadvantage. ""The bigger discussions around the winter break should be to do with the nature of football today, the needs of football players and the way the Premiership has developed, rather than one or two matches in the Champions League in February."" Hodgson believes a winter break carries many advantages, explaining: ""As I said, it is the perfect chance to recharge batteries.

""And certainly if I was still a manager in England I would be supporting any calls for its introduction. ""In pre-season you get a lot of enthusiasm and energy but by the time you get towards Christmas many players, having also played plenty of international matches for club and country and travelled a lot, find themselves getting very jaded. ""The break gives them a chance to recover that energy and enthusiasm and, perhaps more importantly, recover their mental strength during the break and get ready for the games ahead. ""The mental side is by far the most important thing."" Hodgson added: ""The length of breaks can vary. In Italy the break was very short. You just took Christmas and New Year. ""It was so short you didn't do anything. You gave the players a week or 10 days off, then you were training for a week or 10 days and then went into a game. ""If it is longer, it is important those responsible for physical fitness give the players a programme to follow to ensure the physical strength they have accumulated stays with them."" And Hodgson believes a winter break would be a positive step in the Premiership. He said: ""If we talk about football at elite level, which the Premiership is, then I would support a winter break. ""If you examine the demands of the Premier League and, in particular on players who play international football for their club and country, then a break would do them the world of good - physically and mentally.""",Sports
