,Article,Topic
23,klinsmann issues lehmann warning germany coach jurgen klinsmann has warned goalkeeper jens lehmann may have quit arsenal keep his world cup dreams alive lehmann understudy oliver kahn the german squad but has lost his place manuel alumnia highbury klinsmann said will difficult for any our players not firstchoice his club jens not arsenals number one keeper that problem for must playing regularly lehmann desperate keep his place the germany squad when the country hosts the world cup klinsmann added not playing regularly cannot germanys number one keeper even number two keeper the situation for jens that currently the number two keeper arsenal this could critical remains the same during next season,Sports
84,yukos loses bankruptcy battle judge has dismissed attempt russian oil giant yukos gain bankruptcy protection the yukos filed for chapter protection houston unsuccessful attempt halt the auction its yugansk division the russian authorities the court ruling blow efforts get damages for the sale yugansk which yukos claims was illegally sold separately former yukos boss mikhail khodorkovsky began testimony friday his trial for fraud and tax evasion khodorkovsky who has been jail for more than year pleaded not guilty the charges brought against him and denied involvement any criminal activities pride myself heading for years number successful companies and helping other enterprises rise from their knees told russian court yugansk was auctioned help pay off 275bn £145bn unpaid taxes was bought for 94bn previouslyunknown group which was turn bought almost immediately statecontrolled oil company rosneft texas judge letitia clark said yukos did not have enough presence establish jurisdiction the vast majority the business and financial activities yukos continue occur russia judge clark said her ruling such activities require the continued participation the russian government yukos had argued that court was entitled declare bankrupt before its yugansk unit was sold since has local bank accounts and its chief finance officer bruce misamore lives houston yukos claimed sought help the because other forums russian courts and the european court human rights were either unfriendly offered less protection russia had indicated would any case not abide the rulings the courts her ruling the judge acknowledged that appears likely that agencies the russian government have acted manner that would considered confiscatory under united states law but she said her role was simply decide jurisdiction the courts jurisdiction had been challenged deutsche bank and gazpromneft former unit russian gas monopoly gazprom which due merge with rosneft analysts said the ability gazprom and rosneft trade freely overseas had been stifled while the ownership yugansk remained unclear yukos said would consider its options light the ruling however claimed that the court had backed its argument four out five key issues believe the merits our case are strong and simple said chief executive steven theede our assets were illegally seized want them back damages paid,Economics
220,australia rates four year high australia raising its benchmark interest rate its highest level four years despite signs slowdown the countrys economy the reserve bank australia lifted interest rates their first upwards move more than year however shortly after the bank made its decision new figures showed fall economic growth the last quarter the bank said had acted curb inflation but the move was criticised some analysts the rate hike was the first since december and had been wellflagged advance however opposition parties and some analysts said the move was illtimed given data showing the australian economy grew just between october and december and annual basis the figures representing decline from the growth gdp seen between july and september were below market expectations consumer spending remains strong however and the bank concerned about growing inflationary pressures over recent months has become increasingly clear that remaining spare capacity the labour and goods markets becoming rather limited said ian macfarlane governor the reserve bank inflation remains within the banks target range however exports declined the second half fuelling rise the countrys current account deficit the difference the value imports compared exports record australian dollar 294bn the australian government said the economy remained strong with unemployment near year low the economy has been strong and properly moderating but doesnt look like its slowing any unreasonable way said treasurer peter costello stock markets had factored the likelihood rate rise but analysts still expressed concern about the strength the economy that annual growth rate the lowest have seen since the postelection slump saw back said michael blythe chief economist the commonwealth bank australia this suggests the economy really did slow very sharply the second half,Economics
107,parmalat return stockmarket parmalat the italian dairy company which went bust after accounting scandal hopes back the italian stock exchange july the firm gained protection from creditors after revealing debts 14bn euros 1834bn £96bn this was eight times higher than had previously stated statement issued wednesday night parmalat finanziaria detailed administrators latest plans for relisting the shares the group part the relisting the italian stock exchange creditors debts are expected converted into shares through two new share issues amounting more than 2bn euros the companys creditors will asked vote the plan later this year the plan likely give creditors parmalat finanziaria shares worth about the debts they are owed this lower than the creditors previously hoped receive creditors parmalat the main operating company are likely see the percentage debt they receive fall from several former top parmalat executives are under investigation for the fraud scandal lawmakers said wednesday night enrico bondi the turnaround specialist appointed the italian government parmalats chief executive spoke positively about the company during closeddoor hearing the chamber deputies industry commission bondi supplied with elements positive results the industrial positions and the history debt which will find point solution through the parmalat groups quotation the market july italian news agency apcom quoted several lawmakers saying statement,Economics
28,celtic make late bid for bellamy newcastle striker craig bellamy discussing possible shortterm loan move celtic bbc sport understands the welsh striker has rejected move birmingham after falling out with magpies manager graeme souness the toon boss vowed bellamy would not play again after bitter row over his exclusion for the game against arsenal celtic are position match birminghams £6m offer but stay until the end the season could suit bellamy while considers his future according bellamys agent the player dismissed permanent move birmingham and unlikely that newcastle would allow the player loan another premiership club bellamy was fined two weeks wages after live interview which accused souness lying following very public dispute about what position bellamy should play the side souness said cant play for ever again has been disruptive influence from the minute walked into this football club cant television and accuse telling lies chairman freddy shepherd described bellamys behaviour totally unacceptable and totally unprofessional,Sports
7,irish athletics year wont remembered one irish athletics great years the year began with that optimism which invariably and unaccountably seems herald upcoming olympiad but come late august few hot days the magnificent stadium athens told the true strength irish athletics more accurate the lack sonia osullivans olympic farewell apart there was little stir the emotions irish athletics watchers but after the disastrous buildup the games shouldnt have been surprised the start the year osullivan had been earmarked irelands best medal prospect but turned out walker gillian never even made the start line because injury less than week before the olympics the sport was rocked news that 10000m hope cathal lombard had tested for the banned substance epo lombards shattering mark carrolls national 10000m record april had already set tongues wagging but even the most cynical observers were surprised when was rumbled after irish sports council sting operation the corkman quickly held his hands admission and was promptly handed twoyear ban from the sport back preolympic ranch greece must have seemed that things couldnt have got any worse but they very nearly did with walker jamie costin lucky escape with his life after being involved car crash near athens once the track and field action began athens familiar pattern underachievement emerged although alistair craggs performance being the only athlete from european nation qualify for the 5000m final did offer hope for the future our beloved sonia scraped into the womens final fastest loser and for couple days the country attempted delude itself into believing that she might the medal shakeup happened she went out the back door early the final although there was nothing undignified about the way that she insisted finishing the race over minute behind winner meseret defar later transpired that sonia had been suffering from stomach bug the hours before the final although typically the cobhwoman played down the effects the illness amazingly she was back action couple weeks later when beating worldclass field the flora lite road race london and while her major championship days may over its unlikely that have seen the last her competition least sonia managed make athens the start the year several northern ireland athletes had genuine hopes qualifying for the games but come august outofform and injured paul brizzel was the lone standard bearer for the province the ballymena man gave lash but his achilles problem and bad lane draw meant time and early exit james mcilroy gareth turnbull zoe brown and paul mckee all had content with watching the athens action their television screens 800m hope mcilroy never got near his best during the summer and fourth place the british trials effectively ended his hopes making the plane the injuryplagued turnbull gamely travelled round europe search the 1500m qualifying mark but was the best could achieve after missing several months training during the previous winter lingering hamstring probem and virus wrecked mckees athens ambitions and both and turnbull deserve slice better fortune pole vaulter brown had hoped for vote confidence from the british selectors after she had achieved the athens standard but the call never came the summer ended stalwarts catherina mckiernan and dermot donnelly hung their competitive spikes mckiernan had candidly acknowledge that time had crept her after several injuryravaged years donnelly and his annadale striders teammates later suffered tragedy when their friend and clubman andy campbell was found dead his home december large turnout athleticsloving folk turned out west belfast offer their respects the campbell family and andys many friends only death can put the years athletics happenings sharp perspective,Sports
55,arsenal through penalties arsenal win penalties the spanish goalkeeper saved from alan quinn and jon harley arsenal sealed quarterfinal trip bolton with victory penalties lauren patrick vieira freddie ljungberg and ashley cole scored for arsenal while andy gray and phil jagielka were target for the blades michael tonge and harley wasted chances for the underdogs but paddy kenny was inspired keep arsenal bay arsenal stripped attacking talent such thierry henry and dennis bergkamp partnered 17yearold italian striker arturo lupoli with ljungberg front was revamped arsenal lineup and they were almost goal behind within seconds tonge wasted glorious chance gray ran free down the right flank and his cross left tonge with the simplest chances but blazed over the top from six yards arsenal were barely seen attacking force the opening minutes although ljungberg turned halfchance wide after good work cesc fabregas arsene wenger introduced quincy owusuabeyie for the ineffective lupoli halftime and the pacy dutch youngster had immediate impact ran clear after good work mathieu flamini but his finish was tame and kenny saved easily owusuabeyie then fired testing cross which was met fabregas and needed desperate clearance kennys legs save the blades arsenal were now totally dominant and were desperately unlucky not take the lead after minutes when fabregas crashed rising drive against the bar from yards then took brilliant tackle jagielka deny ljungberg was poised strike arsenal continued press and once again kenny was called into action with eight minutes left diving low clutch another closerange effort from fabregas neil warnocks side almost snatched victory the dying seconds when derek gearys cross found harley the far post but his diving header was brilliantly turned over almunia owusuabeyies pace was causing all sorts problems for the blades and extratime began another surging run into the penalty area almost set chance for ljungberg pascal cygan missed arsenals best chance after minutes blazing across the face goal when was unmarked the far post arsenal sent jeremie aliadiere with seven minutes extratime left and almost broke the deadlock with his first touch kolo toures misplaced freekick landed his feet but kenny once again blocked from tight angle arsenal laid siege sheffield uniteds goal the dying minutes but they somehow held force penalties almunia was then arsenals hero another brave blades cup campaign came losing end kenny geary morgan bromby harley liddell montgomery jagielka thirlwell tonge quinn gray subs not used francis kabba shaw haystead morgan almunia lauren cygan senderos cole fabregas toure vieira flamini aliadiere clichy lupoli owusuabeyie ljungberg subs not used eboue taylor clichy lauren senderos dowd staffordshire,Sports
46,mourinho receives robson warning sir bobby robson has offered chelsea boss jose mourinho some advice coping under pressure the pair worked together barcelona and porto and robson had word warning for his protege has all gone for him just lately and that marvellous but sometimes you have have bit humility and learn how lose said robson when goes against you and you get bit bad luck that you learn and hell get straight robson was speaking after being formally granted the freedom the city newcastle jose doing very well the moment robson added the man who worked for him for six years has got one pot possibly two follow big game against barcelona come and cannot see them losing their lead the premiership they are good position and would expect them and win which wonderful achievement what has occurred over the last couple weeks will stand him very good stead for the future intelligent will take board and very intelligent will have learned more the last fortnight than the last eight months before that was all about winning robson also admitted would relish the chance get back into management and test his skills against mourinho not hurry take the wrong job but ready take the right job and feel there another job added know the area capable working and course would like job the premiership one was available would not worry had pit wits against jose but not just case him and against one another would his team against team but would not afraid that,Sports
63,high fuel prices hit bas profits british airways has blamed high fuel prices for drop profits reporting its results for the three months december the airline made pretax profit £75m 141m compared with £125m year earlier rod eddington bas chief executive said the results were respectable third quarter when fuel costs rose £106m bas profits were still better than market expectation £59m and expects rise fullyear revenues help offset the increased price aviation fuel last year introduced fuel surcharge for passengers october increased this from £10 oneway for all longhaul flights while the shorthaul surcharge was raised from £250 leg yet aviation analyst mike powell dresdner kleinwort wasserstein says bas estimated annual surcharge revenues £160m will still way short its additional fuel costs predicted extra £250m turnover for the quarter was £197bn further benefiting from rise cargo revenue looking ahead its full year results march warned that yields average revenues per passenger were expected decline continues lower prices the face competition from lowcost carriers however said sales would better than previously forecast for the year march the total revenue outlook slightly better than previous guidance with improvement anticipated chairman martin broughton said had previously forecast rise fullyear revenue also reported friday that passenger numbers rose january aviation analyst nick van den brul bnp paribas described bas latest quarterly results pretty modest quite good the revenue side and shows the impact fuel surcharges and positive cargo development however operating margins down and cost impact fuel are very strong said since the september attacks the united states has cut jobs part major costcutting drive our focus remains reducing controllable costs and debt whilst continuing invest our products eddington said for example have taken delivery six airbus a321 aircraft and next month will start further improvements our club world flat beds bas shares closed four pence pence,Economics
226,liberian economy starts grow the liberian economy started grow but sustained and deep reform efforts are needed ensure long term growth the international monetary fund imf has said imf mission made the comments report published following days talks with the transition government the imf said that according data provided the liberians the countrys gdp rose after decline liberia recovering from 14year civil war that came end the powersharing national transition government liberia will remain place until elections october the first presidential and parliamentary ballots since the conflict ended the imf said liberias economy started grow last year thanks continued strong recovery rubber production domestic manufacturing and local services including postconflict reconstruction the imf however remains cautious about what sees lack transparency government actions particular pointed mystery surrounding the sale iron ore stockpiles and the alleged disappearance some import and export permits these matters are now being investigated the liberian authorities and the imf has called for their findings made public the imf also said was crucial that the central bank liberia strengthened the national budget effectively managed and sound economic basis built allow the countrys large external debt addressed the imf team stands ready assist the liberian authorities strengthening the areas mentioned said the report the team agreed with the liberian authorities that the period until elections and the inauguration new government will pose exceptional challenges fiscal management and expresses its willingness providecontinued support,Economics
159,what hivaids the human immunodeficiency virus hiv targets the immune system individual this virus weakens and kills the helper cells called cd4 cells the helper cell type lymphocyte which plays important role the immune response with lowered number helper cells the immune system becomes weak welcoming various opportunistic infections such tuberculosis and severe fungal and bacterial infections the normal range cd4 cells healthy individual cellsmm3 blood when this count less than cellsmm3 blood the hiv infection has reached the most severe stage this stage the person has acquired immune deficiency syndrome aids although hiv lifelong disease with treatments like antiretroviral treatment hiv infected individuals can lead relatively long healthy life challenges the production hivaids vaccine the past few decades several attempts have been made produce hivaids vaccine some the trials like the step trial failed while the others such the rv144 trial showed great progress the scientists agree that order correctly produce high efficacy vaccine some key challenges need identified there are several obstacles that plague vaccine research vaccineinduced immunity often based mechanisms similar naturally derived immunity this where the hivaids vaccine research struggles there lack model natural immunity this happens because individuals not naturally recover from hiv and hence researchers lack standard for immunity development another challenge that vaccine research faces the vast variability hiv types hiv has several subtypes that are genetically distinguished from one another even among particular subtype amino acid sequencing can vary the virus constantly evolving among infected populations and new subtypes are probable appear this viral diversity major roadblock vaccine development the vaccine may not work all subtypes additionally researchers have not been able identify correlate protective immunity when comes hiv infection furthermore there reliable animal model which the vaccine efficacy and immune response could studied,Medicine
150,new study has found that people with mental health conditions such depression anxiety may more prone experience cardiovascular problems researchers behind this systematic review published the journal biomedical engineeringtrusted source observed that mental health conditions may have impact autonomic functions which may cause blood pressure widely fluctuate “we know that people with mental health problems have increased risk cardiovascular events and organ damage” renly lim one the researchers behind the study and research fellow the university south australia told medical news today research far the relationship between blood pressure variability bpv and mental illness has been limited this important bpv has been associated with coronary disease “we also know that people with higher blood pressure variation have higher cardiovascular risk our study now makes the connection between mental health problems with blood pressure and heart rate” said lim the study adds existing research establishing link between mental health and physical wellbeing,Medicine
43,beattie return calms attack fears everton striker james beattie has been declared fit for training tuesday despite suffering alleged assault last saturday beattie not believed seriously hurt some reports have suggested after being the victim unprovoked assault birmingham was night out with his girlfriend and two friends following evertons win over aston villa was shaken but not badly injured said everton spokesman ian ross added did speak the police but will not pressing charges has spoken manager david moyes about what happened beattie was suspended for the win aston villa after his red card against chelsea and will available again for the merseyside derby liverpool march,Sports
147,common characteristic neurodegenerative conditions such alzheimer’s and parkinson’s buildup misfolded proteinstrusted source such betaamyloid and tau avoid this buildup healthy cells have inbuilt processestrusted source that monitor protein folding ensure that proteins are correctly folded and any misfolded proteins are destroyed errors these processes may resulttrusted source neurodegenerative conditions recent study researchers discovered that the systolic heat shock protein hsp70 chaperonetrusted source and its assisting system had the ability resolve protein buildups the cell’s cytoplasm the material within cell excluding the nucleus knowing whether similar ability exists the endoplasmic reticulum er—a site the cell that manufactures around third cellular proteins—could improve researchers’ understanding neurodegeneration pathology recent study researchers hypothesized that ‘adding stress’ the would lead protein misfolding and eventually buildups they found however that the opposite was true “this work showed that stressing cells grown dish with chemicals can help clear abnormal clumps proteins from structure inside the cells called endoplasmic reticulum” professor tara spiresjones deputy director the centre for discovery brain sciences the university edinburgh who was not involved the study told medical news today “the stress caused activation chaperone ‘helper’ protein which can help other proteins refold into their normal shapes instead toxic clumps” she added the study was published naturetrusted source cells and heat shock proteins for the study the researchers observed several cell types including monkey kidney cells hamster ovary cells mouse embryonic skin cells human embryonic kidney cells human cortical neurons derived from induced pluripotent stem cells after triggering stress the these cells they used purposedeveloped protein aggregation probing system observe protein folding inside them the system they used involved measuring light patterns glowing chemical nanosecond intervals—a billionth second under laserpowered microscope doing they found that stressing the cells unraveled protein aggregates potentially allowing them refold correctly heat shock proteins hsps appeared play major role this response these proteins are responsive changes temperature and are produced when cells are exposed higher temperatures than normal “this heat shock protein can bind other proteins and promote the unscrambling the misfolded proteins suppress the aggregation these misfolded proteins” mark dallas associate professor the reading school pharmacy the university reading who was not involved the study told mnt,Medicine
132,between and older adults the united statestrusted source and europe take statins treat prevent atherosclerosis cardiovascular disease acvd the buildup cholesterol plaque artery walls that stops blood flow although effective decreasing acvdrelated deaths their effects differtrusted source between people while pharmacologicaltrusted source and genetic factorstrusted source are known contribute statin response personalized approaches remain limited recent studies have suggested link between the gut microbiome and statin use and the gut microbiome and acvd risk other studiestrusted source have found that gut bacteria metabolize statins into secondary compounds knowing whether and how gut microbiome composition affects people’s response statins could help researchers and clinicians personalize statinbased treatments recent study researchers investigated whether and how the gut microbiome composition affects person’s response statins and metabolic health they found that differences gut microbiome composition influenced people’s response statins well metabolic health parameters including insulin resistance and blood glucose levels “the authors present very compelling work linking the microbiome with the efficacy and toxicity statin medications” sony tuteja research assistant professor medicine the university pennsylvania not involved the study told medical news today “this adds the already large amount work pointing the microbiome explaining the variation drug response that cannot explained host genetics” she added the new study was published the journal medtrusted source,Medicine
213,parker misses england clash tom shanklin will start the centre for wales against england cardiff saturday after sonny parker failed recover from trapped neck nerve shanklin was firstchoice wing the autumn tests but prefers centre and will face england debutant mathew tait dragons threequarter hal luscombe takes shanklins wing berth front mefin davies plays hooker openside martyn williams fit start and lock rob sidoli replaces veteran gareth llewellyn davies wins the vote ahead robin mcbryde who sits the bench having recently returned action for the scarlets following neck injury sidoli back for the first time since last seasons six nations the blues second row back form after niggling groin problem williams sidolis teammate cardiff set win his 50th cap replacing the injured colin charvis after making quickerthanexpected recovery from neck disc problem initially when had the diagnosis was case trying get fit for the italy game next week but fortunately recovery has been lot quicker than all hoped williams told bbc sport wales havent started game since january and would have preferred have couple games the leadup this but the good thing with the injury that have kept fitness levels feel quite fresh and just cant wait play again williams says expects torrid time from england looseforward trio lewis moody joe worsley and andy hazell they are three topclass players especially worsley and moody they have been there and done williams added they were backups behind richard hill neil back and lawrence dallaglio but now they have come forward and proved what good players they are there are weaknesses there luscombe gets the nod the wing ahead dragons teammate kevin morgan who wins place the bench alongside uncapped blues prop john yapp thomas toulouse capt luscombe dragons shanklin blues henson ospreys williams ospreys jones clermont auvergne peel scarlets jenkins blues davies gloucester jones ospreys cockbain ospreys sidoli blues jones scarlets williams blues owen dragons mcbryde scarlets yapp blues thomas ospreys jones ospreys cooper dragons sweeney dragons morgan dragons,Sports
81,sluggish economy hits german jobs the number people out work europes largest economy has risen for the tenth straight month growth remains stubbornly slow german unemployment rose november million people the workforce the seasonally adjusted rise showed smaller rise than expected government measures encourage job creation began take effect but officials said stagnant growth was still stifling the job market there are clear signs revival domestic demand said frankjuergen weise head the federal labour agency statement but growth the third quarter still insufficient deliver positive momentum the labour market high oil prices and the soaring euro which damages the competitiveness exporters were also having negative effect said the brunt the unemployment still being felt the eastern part germany where the rate with unemployment stuck above million for years the government chancellor gerhard schroeder has put job creation the top the agenda controversial package measures shake incentives get back work paid for cutting some cherished benefits has sparked anger among some german workers strikes number industries notably among the countrys iconic carmakers have demonstrated the displeasure well fears about further job losses outsourcing takes hold among the new initiatives are the socalled oneeuro jobs which top unemployment benefit the schemes formal launch january but hirings for these positions are already taking place and affecting the unemployment statistics economists said the deterioration the labour market does not come surprise said isabelle kronawitter hypovereinsbank job creation measures probably prevented stronger increase the seasonally adjusted numbers,Economics
62,yukos unit buyer faces loan claim the owners embattled russian oil giant yukos are ask the buyer its former production unit pay back 900m £479m loan stateowned rosneft bought the yugansk unit for 93bn sale forced russia part settle 275bn tax claim against yukos yukos owner menatep group says will ask rosneft repay loan that yugansk had secured its assets rosneft already faces similar 540m repayment demand from foreign banks legal experts said rosnefts purchase yugansk would include such obligations the pledged assets are with rosneft will have pay real money the creditors avoid seizure yugansk assets said moscowbased lawyer jamie firestone who not connected the case menatep groups managing director tim osborne told the reuters news agency they default will fight them where the rule law exists under the international arbitration clauses the credit rosneft officials were unavailable for comment but the company has said intends take action against menatep recover some the tax claims and debts owed yugansk yukos had filed for bankruptcy protection court attempt prevent the forced sale its main production arm the sale went ahead december and yugansk was sold littleknown shell company which turn was bought rosneft yukos claims its downfall was punishment for the political ambitions its founder mikhail khodorkovsky and has vowed sue any participant the sale,Economics
266,health officials remain perplexed mysterious cases severe liver damage hundreds young children around the world the best available evidence points fairly common stomach bug that isnt known cause liver problems otherwise healthy kids that virus was detected the the blood stricken children but oddly has not been found their diseased livers “theres lot things that dont make sense” said eric kremer virus researcher the institute molecular genetics montpellier france health officials more than dozen countries look into the mystery they are asking has there been some surge the stomach bug called adenovirus that causing more cases previously undetected problem are children more susceptible due pandemicrelated lockdowns that sheltered them from the viruses kids usually experience there some mutated version the adenovirus causing this some other notyetidentified germ drug toxin some kind haywire immune system reaction set off past covid19 infection and later invasion some other virus the centers for disease control and prevention and investigators around the globe are trying sort out whats going the illnesses are considered rare cdc officials last week said they are now looking into possible cases across the most the children were hospitalized least required liver transplants and six died more than other countries have reported hundreds more cases total though the largest numbers have been the and symptoms hepatitis inflammation the liver include fever fatigue loss appetite nausea vomiting abdominal pain dark urine lightcolored stools joint pain and jaundice the scope the problem only started become clear last month though disease detectives say they have been working the mystery for months its been maddeningly difficult nail cause down experts say conventional causes liver inflammation otherwise healthy kids the viruses known hepatitis and didnt show tests what’s more the children came from different places and there seemed common exposures what did show was adenovirus more than half the cases have tested positive for adenovirus which there are dozens varieties small number specimens tested see what kind adenovirus was present adenovirus came every time the fact that adenovirus keeps showing strengthens the case for playing role but its unclear how jay butler the cdc’s deputy director for infectious diseases told the associated press many adenoviruses are associated with common cold symptoms such fever sore throat and pink eye some versions including adenovirus can trigger other problems including inflammation the stomach and intestines adenoviruses previously have been linked hepatitis children but mostly kids with weakened immune systems recent genetic analysis has turned evidence that single new mutant version the virus blame said umesh parashar chief the cdc group focused viral gut diseases adenovirus infections are not systematically tracked the its not clear theres been some recent surge virus activity fact adenoviruses are common that researchers arent sure what make their presence these cases “if start testing everybody for the adenovirus they will find many kids” that have said heli bhatt pediatric gastroenterologist who treated two minnesota children with the liver problems one was child who came nearly five months ago with liver failure doctors couldnt figure why unfortunately “not having cause something that happens” bhatt said roughly third acute liver failure cases unexplained experts have estimated bhatt said the second child she saw got sick last month that time health officials had been drawing attention cases and she and other doctors began going back and reviewing unexplained illnesses since october indeed many cases added the tally the last few weeks were not recent illnesses but rather earlier ones that were reevaluated about the cases occurred may butler said the rate seems relatively flat since the fall added its possible that doctors are merely discovering phenomenon thats been going for years some scientists said covid19 vaccination has been ruled out because the vast majority these children are unvaccinated” butler explained but past infection with the coronavirus itself might factor scientists say the cdc recently estimated that february children had been infected only the children with the mysterious hepatitis had covid19 according nasal swab tests given when they checked into hospital health officials say but investigators are wondering about previous coronavirus infections its possible that coronavirus particles lurking the gut are playing role said petter brodin pediatric immunologist imperial college london piece earlier this month the medical journal lancet brodin and another scientist suggested that combination lingering coronavirus and adenovirus infection could trigger liverdamaging immune system reaction think its unfortunate combination circumstances that could explain this” brodin told the butler said researchers have seen complex reactions like that before and investigators are discussing ways better check out the hypothesis said was “not out the realm plausibility all case western reserve university preprint study which has yet peer reviewed suggested children who had covid19 had significantly higher risk liver damage markus buchfellner pediatric infectious diseases doctor the university alabama birmingham was involved the identification the first cases the fall the illnesses were “weird” and concerning said six months later “we don’t really know exactly what we’re dealing with”,Medicine
80,rank set sell off film unit leisure group rank could unveil plans demerge its film services unit and sell its media business reports claim rank formerly famous for the carry series will expose the shakeup the announcement its results friday the sunday telegraph reported advisors goldman sachs are understood have valued its demerged deluxe film unit £300m the report added speculation possible shakeup has mounted since rank announced study into possible demerger september since mike smiths appointment chief executive the group has focused fewer businesses and embarked major costcutting programme which has seen dispose number businesses including the odeon cinema chain and the pinewood studios the move left the group with three core divisions gaming hard rock and deluxe films which provides technical services hollywood studios rank now aims concentrate its gaming bars and hotels business including extending its hard rock brand its casinos trials which have been success also owns deluxe media which makes and distributes dvds and videos however that business seen less successful last year made profits £215m turnover £3921m and experts suggest its success moving dvds from vhs video could make attractive target for private equity buyer spokesman for the firm refused comment the reports but said any results from the demerger study were likely set out when unveiled its results friday analysts predict the firm likely report slight drop annual pretax profits £170m from £194m last year formed the 1940s the firm was leading film producer and cinema owner for many years has now diversified into range other leisure activities mainly the including hotels roadside service areas and holiday centres now owns grosvenor casinos the mecca bingo chain and more than hard rock cafes countries,Economics
244,wmc profits amid bid criticism australian mining firm wmc resources has seen fivefold rise profits while continuing the target hostile takeover bid wmc said made net profits 133bn australian dollars 1bn £550m from a246bn the year before currently arguing against offer from swiss xstrata which the firm raised a84bn last week after wmc said was undervaluation now reports say that the australian government against the deal trade minister mark vaile has said that the bid may against the national interest vaile who was quoted the australian financial review compared xstratas attempt take over wmc similar bid oil giant shell for australias woodside petroleum the bid was thrown out treasurer peter costello national interest grounds wmcs interests uranium deposits were contributing factor vaile said wmc itself however has objection principle being bought out having spun off its aluminium operations make itself more tempting target long the price right its stellar performance has been built skyhigh prices for metals copper and nickel particular have been high demand thanks chinas booming economy which expanded more than each the past two years nickel prices rose during the year with copper,Economics
299,two drugs are better than one when comes stopping asthma attacks progress new clinical trial has found the study more than asthma patients found that twodrug rescue inhaler worked better than standard inhaler thwarting severe asthma exacerbations helping some patients avoid trips the hospital the inhaler which not yet approved contains two longused asthma medications albuterol and budesonide budesonide corticosteroid that controls the airway inflammation underlying asthma people with the disease commonly use daily inhaler containing corticosteroid one brand pulmicort prevent attacks wheezing coughing and breathlessness thats contrast standard rescue inhalers which are used quickly quell symptom flareup they contain medications called shortacting betaagonists and work relaxing and widening the airways shortacting betaagonists include albuterol branded proair the new trial researchers found that combining budesonide and albuterol into one rescue inhaler appears the better approach average the twodrug inhaler cut patients risk severe symptom attack versus albuterol alone experts said they think the new inhaler approved should become the rescue medication choice for most asthma patients current rescue therapy certainly works but its not the best said reynold panettieri one the researchers the trial thats because while standard inhalers open the airways they not address inflammation explained panettieri professor medicine rutgers robert wood johnson medical school new brunswick the dualdrug inhaler gives people dose corticosteroids right when they need most panettieri said that does not mean the new rescue inhaler could replace corticosteroids used for daily asthma control patients the trial were taking controller medications and used the rescue inhaler needed when symptoms flared the twodrug approach makes sense adds the missing piece targeting inflammation agreed michael wechsler who directs the cohen family asthma institute national jewish health denver wechsler who was not involved the trial said that the inhaler approved sees largely replacing standard rescue inhalers believe should become the treatment choice said especially for patients with history asthma exacerbations the findings were published may the new england journal medicine and presented the american thoracic societys annual meeting san francisco the drug company avillion which developing the twodrug approach with astrazeneca provided the funding the trial involved patients mostly adults and teenagers who had moderatetosevere asthma they were randomly assigned use either the twodrug rescue inhaler albuterol only needed for least six months overall patients using the medication duo were less likely suffer severe asthma attack defined ending the emergency room hospital needing take oral injection corticosteroids for least three days average the annual rate severe attacks was onequarter lower among patients the twodrug inhaler versus those using albuterol alone managing asthma the goal should always minimizing the need for rescue inhaler said mark jacobson medical director allergy asthma physicians hinsdale ill that means making sure patients are optimal dose controller medication and educating them avoiding triggers said all that being said when individuals have exacerbation will most certainly include significant amount inflammation said jacobson who was not involved the trial therefore when they have symptoms would certainly helpful get some inhaled steroids into them said like wechsler panettieri believes the twodrug inhaler could replace standard treatment think this could gamechanger said there however the realworld issue cost panettieri pointed out its not clear how expensive the twodrug inhaler would but costs substantially more than standard rescue inhalers insurers might balk though panettieri said there would savings from avoiding some trips and hospitalizations the inhaler also needs tested more extensively children panettieri said there were too few kids younger than this trial draw conclusions wechsler said the twodrug inhaler likely effective for children and the main question will whether has any adverse effects safety issues turned among adults and teens this trial,Medicine
